date,close,volume,open,low,high
2019-04-16 16:32:00,20.09,9293,20.09,20.09,20.09
2019-04-16 16:31:00,20.10,55530,20.10,20.10,20.10
2019-04-16 16:30:00,20.09,1300,20.09,20.09,20.09
2019-04-16 16:29:00,20.09,23552,20.08,20.08,20.09
2019-04-16 16:28:00,20.08,1000,20.08,20.08,20.08
2019-04-16 16:26:00,20.08,22883,20.09,20.08,20.09
2019-04-16 16:25:00,20.09,13696,20.08,20.08,20.09
2019-04-16 16:24:00,20.07,284,20.07,20.07,20.07
2019-04-16 16:23:00,20.08,15632,20.07,20.06,20.08
2019-04-16 16:21:00,20.07,457,20.07,20.07,20.07
2019-04-16 16:20:00,20.08,4763,20.08,20.08,20.08
2019-04-16 16:19:00,20.09,10276,20.08,20.08,20.09
2019-04-16 16:18:00,20.09,10317,20.09,20.09,20.09
2019-04-16 16:16:00,20.08,16977,20.08,20.08,20.08
2019-04-16 16:15:00,20.09,9743,20.08,20.08,20.09
2019-04-16 16:14:00,20.07,4700,20.07,20.07,20.07
2019-04-16 16:13:00,20.07,19960,20.07,20.07,20.07
2019-04-16 16:11:00,20.07,3000,20.07,20.07,20.07
2019-04-16 16:10:00,20.07,200,20.07,20.07,20.07
2019-04-16 16:09:00,20.06,6737,20.06,20.06,20.06
2019-04-16 16:08:00,20.05,16836,20.05,20.05,20.05
2019-04-16 16:04:00,20.05,9789,20.04,20.04,20.05
2019-04-16 16:03:00,20.04,11558,20.04,20.04,20.04
2019-04-16 16:01:00,20.04,1594,20.05,20.04,20.05
2019-04-16 16:00:00,20.04,18179,20.04,20.04,20.05
2019-04-16 15:59:00,20.04,315,20.04,20.04,20.04
2019-04-16 15:58:00,20.04,2236,20.04,20.04,20.05
2019-04-16 15:57:00,20.04,9217,20.04,20.04,20.05
2019-04-16 15:56:00,20.04,148,20.04,20.04,20.04
2019-04-16 15:55:00,20.05,19519,20.04,20.04,20.05
2019-04-16 15:53:00,20.03,748,20.04,20.03,20.04
2019-04-16 15:52:00,20.03,78,20.03,20.03,20.03
2019-04-16 15:51:00,20.04,1,20.04,20.04,20.04
2019-04-16 15:50:00,20.03,3729,20.03,20.03,20.03
2019-04-16 15:49:00,20.04,131023,20.03,20.03,20.05
2019-04-16 15:48:00,20.03,2208,20.03,20.03,20.03
2019-04-16 15:47:00,20.03,11973,20.04,20.03,20.04
2019-04-16 15:46:00,20.05,6737,20.04,20.04,20.05
2019-04-16 15:45:00,20.05,315,20.05,20.05,20.05
2019-04-16 15:43:00,20.05,6105,20.04,20.04,20.05
2019-04-16 15:42:00,20.04,3673,20.03,20.03,20.04
2019-04-16 15:41:00,20.04,145,20.04,20.04,20.04
2019-04-16 15:38:00,20.04,6127,20.05,20.04,20.05
2019-04-16 15:37:00,20.05,16592,20.05,20.04,20.05
2019-04-16 15:36:00,20.05,35198,20.04,20.04,20.06
2019-04-16 15:35:00,20.05,6411,20.06,20.05,20.06
2019-04-16 15:32:00,20.06,24133,20.07,20.06,20.07
2019-04-16 15:31:00,20.08,6093,20.08,20.08,20.08
2019-04-16 15:30:00,20.09,4503,20.08,20.08,20.09
2019-04-16 15:29:00,20.08,6217,20.09,20.08,20.09
2019-04-16 15:28:00,20.08,3227,20.09,20.08,20.09
2019-04-16 15:27:00,20.08,3804,20.08,20.08,20.09
2019-04-16 15:25:00,20.08,5858,20.09,20.08,20.09
2019-04-16 15:22:00,20.09,50,20.09,20.09,20.09
2019-04-16 15:20:00,20.09,1167,20.09,20.09,20.09
2019-04-16 15:19:00,20.09,7988,20.09,20.09,20.09
2019-04-16 15:15:00,20.09,2620,20.09,20.09,20.09
2019-04-16 15:14:00,20.10,500,20.10,20.10,20.10
2019-04-16 15:13:00,20.09,4500,20.09,20.09,20.09
2019-04-16 15:12:00,20.10,29803,20.10,20.09,20.10
2019-04-16 15:10:00,20.11,2,20.11,20.11,20.11
2019-04-16 15:09:00,20.10,379,20.10,20.10,20.10
2019-04-16 15:08:00,20.10,1523,20.10,20.10,20.10
2019-04-16 15:07:00,20.10,3032,20.10,20.10,20.10
2019-04-16 15:06:00,20.09,9708,20.10,20.09,20.10
2019-04-16 15:05:00,20.09,2889,20.08,20.08,20.09
2019-04-16 15:02:00,20.09,11404,20.08,20.08,20.09
2019-04-16 15:01:00,20.09,50,20.09,20.09,20.09
2019-04-16 15:00:00,20.08,9705,20.08,20.08,20.08
2019-04-16 14:58:00,20.09,220,20.09,20.09,20.09
2019-04-16 14:57:00,20.09,1000,20.09,20.09,20.09
2019-04-16 14:56:00,20.10,4880,20.09,20.09,20.10
2019-04-16 14:55:00,20.09,1125,20.08,20.08,20.09
2019-04-16 14:54:00,20.08,13319,20.08,20.08,20.08
2019-04-16 14:50:00,20.08,12067,20.07,20.07,20.08
2019-04-16 14:48:00,20.07,202,20.07,20.07,20.07
2019-04-16 14:45:00,20.07,4500,20.07,20.07,20.07
2019-04-16 14:43:00,20.07,303,20.07,20.07,20.07
2019-04-16 14:42:00,20.07,731,20.07,20.07,20.07
2019-04-16 14:39:00,20.07,6744,20.06,20.06,20.07
2019-04-16 14:37:00,20.06,4938,20.06,20.06,20.06
2019-04-16 14:35:00,20.05,9048,20.05,20.05,20.05
2019-04-16 14:34:00,20.05,3878,20.06,20.05,20.06
2019-04-16 14:33:00,20.06,1000,20.06,20.06,20.06
2019-04-16 14:31:00,20.05,700,20.05,20.05,20.05
2019-04-16 14:30:00,20.05,12571,20.06,20.05,20.07
2019-04-16 14:29:00,20.06,22000,20.05,20.05,20.06
2019-04-16 14:28:00,20.05,5000,20.05,20.05,20.05
2019-04-16 14:25:00,20.05,300,20.04,20.04,20.05
2019-04-16 14:24:00,20.04,3332,20.04,20.04,20.04
2019-04-16 14:23:00,20.04,754,20.04,20.04,20.04
2019-04-16 14:21:00,20.05,86747,20.05,20.05,20.05
2019-04-16 14:19:00,20.05,4873,20.05,20.05,20.05
2019-04-16 14:18:00,20.05,3471,20.05,20.05,20.05
2019-04-16 14:16:00,20.04,69374,20.06,20.04,20.06
2019-04-16 14:15:00,20.06,1318,20.06,20.06,20.06
2019-04-16 14:13:00,20.06,1600,20.06,20.06,20.06
2019-04-16 14:12:00,20.07,7183,20.06,20.06,20.07
2019-04-16 14:11:00,20.06,13495,20.07,20.06,20.07
2019-04-16 14:10:00,20.08,2375,20.08,20.08,20.08
2019-04-16 14:09:00,20.09,1178,20.09,20.09,20.09
2019-04-16 14:08:00,20.09,12589,20.08,20.08,20.09
2019-04-16 14:07:00,20.07,118922,20.13,20.07,20.13
2019-04-16 14:06:00,20.14,122718,20.07,20.07,20.15
2019-04-16 14:05:00,20.07,1247,20.07,20.07,20.07
2019-04-16 14:04:00,20.06,3587,20.06,20.06,20.06
2019-04-16 14:03:00,20.06,400,20.06,20.06,20.06
2019-04-16 14:01:00,20.06,5419,20.06,20.06,20.06
2019-04-16 14:00:00,20.05,255,20.05,20.05,20.05
2019-04-16 13:57:00,20.05,477,20.05,20.05,20.05
2019-04-16 13:56:00,20.05,8184,20.05,20.05,20.05
2019-04-16 13:55:00,20.05,11926,20.05,20.05,20.05
2019-04-16 13:54:00,20.04,496,20.05,20.04,20.05
2019-04-16 13:53:00,20.05,11370,20.05,20.05,20.05
2019-04-16 13:51:00,20.05,8382,20.07,20.05,20.07
2019-04-16 13:46:00,20.07,14925,20.07,20.07,20.07
2019-04-16 13:45:00,20.08,53,20.08,20.08,20.08
2019-04-16 13:42:00,20.08,15054,20.07,20.07,20.08
2019-04-16 13:40:00,20.07,974,20.07,20.07,20.07
2019-04-16 13:39:00,20.07,2522,20.06,20.06,20.07
2019-04-16 13:36:00,20.06,12506,20.06,20.06,20.06
2019-04-16 13:30:00,20.06,120,20.06,20.06,20.06
2019-04-16 13:29:00,20.07,500,20.07,20.07,20.07
2019-04-16 13:28:00,20.07,19997,20.07,20.07,20.07
2019-04-16 13:27:00,20.07,1000,20.07,20.07,20.07
2019-04-16 13:26:00,20.07,145,20.07,20.07,20.07
2019-04-16 13:25:00,20.08,7369,20.07,20.07,20.08
2019-04-16 13:23:00,20.06,16326,20.05,20.05,20.06
2019-04-16 13:22:00,20.05,500,20.05,20.05,20.05
2019-04-16 13:20:00,20.06,1672,20.06,20.06,20.06
2019-04-16 13:19:00,20.06,200,20.06,20.06,20.06
2019-04-16 13:15:00,20.06,1,20.06,20.06,20.06
2019-04-16 13:09:00,20.05,213,20.05,20.05,20.05
2019-04-16 13:07:00,20.05,1,20.05,20.05,20.05
2019-04-16 13:05:00,20.05,19689,20.04,20.04,20.05
2019-04-16 13:04:00,20.04,582,20.04,20.04,20.04
2019-04-16 13:01:00,20.04,31644,20.03,20.03,20.04
2019-04-16 13:00:00,20.04,1,20.04,20.04,20.04
2019-04-16 12:59:00,20.04,3905,20.04,20.04,20.04
2019-04-16 12:58:00,20.04,1490,20.04,20.04,20.04
2019-04-16 12:57:00,20.04,550,20.04,20.04,20.04
2019-04-16 12:56:00,20.04,13462,20.04,20.04,20.04
2019-04-16 12:55:00,20.04,1,20.04,20.04,20.04
2019-04-16 12:53:00,20.04,300,20.04,20.04,20.04
2019-04-16 12:52:00,20.03,2000,20.03,20.03,20.03
2019-04-16 12:51:00,20.04,750,20.04,20.04,20.04
2019-04-16 12:49:00,20.04,2000,20.04,20.04,20.04
2019-04-16 12:47:00,20.04,250,20.04,20.04,20.04
2019-04-16 12:45:00,20.04,1460,20.03,20.03,20.04
2019-04-16 12:39:00,20.04,1,20.04,20.04,20.04
2019-04-16 12:34:00,20.03,1208,20.03,20.03,20.03
2019-04-16 12:33:00,20.04,3000,20.04,20.04,20.04
2019-04-16 12:31:00,20.03,2784,20.03,20.03,20.03
2019-04-16 12:30:00,20.03,3105,20.03,20.03,20.03
2019-04-16 12:29:00,20.02,2142,20.03,20.02,20.03
2019-04-16 12:28:00,20.03,15053,20.03,20.03,20.03
2019-04-16 12:25:00,20.04,1,20.04,20.04,20.04
2019-04-16 12:22:00,20.04,200,20.04,20.04,20.04
2019-04-16 12:21:00,20.03,3211,20.03,20.03,20.03
2019-04-16 12:20:00,20.03,5497,20.02,20.02,20.03
2019-04-16 12:15:00,20.02,13,20.02,20.02,20.02
2019-04-16 12:13:00,20.02,1241,20.02,20.02,20.02
2019-04-16 12:10:00,20.02,4,20.02,20.02,20.02
2019-04-16 12:07:00,20.01,6770,20.01,20.01,20.01
2019-04-16 12:06:00,20.01,1330,20.01,20.01,20.01
2019-04-16 12:05:00,20.01,9274,20.02,20.01,20.02
2019-04-16 12:04:00,20.03,6097,20.02,20.02,20.03
2019-04-16 12:03:00,20.02,6000,20.02,20.02,20.02
2019-04-16 12:02:00,20.01,14342,20.01,20.00,20.01
2019-04-16 12:01:00,20.01,9706,20.02,20.01,20.02
2019-04-16 12:00:00,20.01,6018,20.02,20.01,20.02
2019-04-16 11:58:00,20.02,3626,20.02,20.02,20.02
2019-04-16 11:57:00,20.02,400,20.02,20.02,20.02
2019-04-16 11:56:00,20.02,2600,20.01,20.01,20.02
2019-04-16 11:53:00,20.02,11605,20.01,20.01,20.02
2019-04-16 11:52:00,20.02,5622,20.03,20.02,20.03
2019-04-16 11:51:00,20.02,6735,20.02,20.02,20.03
2019-04-16 11:49:00,20.02,7065,20.02,20.02,20.02
2019-04-16 11:47:00,20.02,9111,20.02,20.02,20.02
2019-04-16 11:46:00,20.02,9244,20.02,20.02,20.02
2019-04-16 11:43:00,20.02,1900,20.02,20.02,20.02
2019-04-16 11:42:00,20.03,3000,20.03,20.03,20.03
2019-04-16 11:40:00,20.03,7500,20.02,20.02,20.03
2019-04-16 11:39:00,20.02,8000,20.02,20.02,20.02
2019-04-16 11:38:00,20.03,8644,20.03,20.03,20.03
2019-04-16 11:37:00,20.03,16499,20.03,20.03,20.03
2019-04-16 11:36:00,20.03,8530,20.02,20.02,20.03
2019-04-16 11:35:00,20.03,1400,20.03,20.03,20.03
2019-04-16 11:31:00,20.02,5292,20.02,20.02,20.02
2019-04-16 11:30:00,20.03,11090,20.03,20.03,20.03
2019-04-16 11:29:00,20.02,10280,20.02,20.01,20.02
2019-04-16 11:28:00,20.02,1221,20.03,20.02,20.03
2019-04-16 11:27:00,20.02,404,20.02,20.02,20.02
2019-04-16 11:25:00,20.03,2500,20.03,20.03,20.03
2019-04-16 11:24:00,20.03,7327,20.02,20.02,20.03
2019-04-16 11:23:00,20.02,4005,20.02,20.02,20.02
2019-04-16 11:20:00,20.03,14,20.03,20.03,20.03
2019-04-16 11:19:00,20.03,7141,20.02,20.02,20.03
2019-04-16 11:18:00,20.02,3836,20.02,20.02,20.02
2019-04-16 11:17:00,20.01,1867,20.01,20.01,20.01
2019-04-16 11:16:00,20.01,1865,20.01,20.00,20.01
2019-04-16 11:15:00,20.01,23083,20.02,20.01,20.02
2019-04-16 11:13:00,20.02,2000,20.02,20.02,20.02
2019-04-16 11:12:00,20.02,30,20.02,20.02,20.02
2019-04-16 11:11:00,20.01,16514,20.01,20.01,20.01
