date,close,open,low,high
09-Apr-2001,22.0678,22.0678,22.0678,22.0678
10-Apr-2001,20.0802,20.0802,20.0802,20.0802
11-Apr-2001,18.9488,18.9488,18.9488,18.9488
12-Apr-2001,18.5374,18.5374,18.5374,18.5374
17-Apr-2001,19.7825,19.7825,19.7825,19.7825
18-Apr-2001,18.8444,18.8444,18.8444,18.8444
19-Apr-2001,18.5983,18.5983,18.5983,18.5983
20-Apr-2001,18.3049,18.3049,18.3049,18.3049
23-Apr-2001,18.9767,18.9767,18.9767,18.9767
24-Apr-2001,17.4516,17.4516,17.4516,17.4516
25-Apr-2001,17.5832,17.5832,17.5832,17.5832
26-Apr-2001,16.4372,16.4372,16.4372,16.4372
27-Apr-2001,15.3613,15.3613,15.3613,15.3613
30-Apr-2001,14.7188,14.7188,14.7188,14.7188
02-May-2001,14.8482,14.8482,14.8482,14.8482
03-May-2001,15.9629,15.9629,15.9629,15.9629
04-May-2001,15.8946,15.8946,15.8946,15.8946
07-May-2001,16.4049,16.4049,16.4049,16.4049
08-May-2001,15.7760,15.7760,15.7760,15.7760
09-May-2001,16.0213,16.0213,16.0213,16.0213
10-May-2001,15.4292,15.4292,15.4292,15.4292
11-May-2001,15.5259,15.5259,15.5259,15.5259
14-May-2001,15.8194,15.8194,15.8194,15.8194
15-May-2001,16.1627,16.1627,16.1627,16.1627
16-May-2001,15.8388,15.8388,15.8388,15.8388
17-May-2001,15.5517,15.5517,15.5517,15.5517
18-May-2001,14.8950,14.8950,14.8950,14.8950
21-May-2001,15.0428,15.0428,15.0428,15.0428
22-May-2001,14.7632,14.7632,14.7632,14.7632
23-May-2001,14.4954,14.4954,14.4954,14.4954
24-May-2001,14.7374,14.7374,14.7374,14.7374
25-May-2001,14.4357,14.4357,14.4357,14.4357
28-May-2001,14.2575,14.2575,14.2575,14.2575
29-May-2001,14.3113,14.3113,14.3113,14.3113
30-May-2001,14.8208,14.8208,14.8208,14.8208
31-May-2001,14.9900,14.9900,14.9900,14.9900
01-Jun-2001,14.1237,14.1237,14.1237,14.1237
04-Jun-2001,14.8171,14.8171,14.8171,14.8171
05-Jun-2001,13.4418,13.4418,13.4418,13.4418
06-Jun-2001,13.1687,13.1687,13.1687,13.1687
07-Jun-2001,13.0130,13.0130,13.0130,13.0130
08-Jun-2001,12.9504,12.9504,12.9504,12.9504
11-Jun-2001,13.3210,13.3210,13.3210,13.3210
12-Jun-2001,14.9220,14.9220,14.9220,14.9220
13-Jun-2001,14.1706,14.1706,14.1706,14.1706
14-Jun-2001,14.9796,14.9796,14.9796,14.9796
15-Jun-2001,15.9990,15.9990,15.9990,15.9990
18-Jun-2001,16.3398,16.3398,16.3398,16.3398
19-Jun-2001,15.6975,15.6975,15.6975,15.6975
20-Jun-2001,16.1658,16.1658,16.1658,16.1658
21-Jun-2001,15.7313,15.7313,15.7313,15.7313
22-Jun-2001,14.9899,14.9899,14.9899,14.9899
25-Jun-2001,15.0900,15.0900,15.0900,15.0900
26-Jun-2001,15.6781,15.6781,15.6781,15.6781
