date,close,volume,open,low,high
2019-04-16 17:32:00,762.5,2450,762.5,762.5,762.5
2019-04-16 17:30:00,762.5,63396,763.5,762.5,764.0
2019-04-16 17:29:00,764.0,6280,765.0,764.0,765.0
2019-04-16 17:28:00,766.0,9419,764.0,764.0,766.0
2019-04-16 17:27:00,764.0,8349,764.0,764.0,764.0
2019-04-16 17:25:00,765.0,10919,764.0,764.0,765.0
2019-04-16 17:24:00,763.0,1316,763.0,763.0,763.0
2019-04-16 17:22:00,759.5,7666,764.0,758.0,764.0
2019-04-16 17:21:00,765.0,9587,762.0,759.0,775.0
2019-04-16 17:20:00,761.0,40,761.0,761.0,761.0
2019-04-16 17:18:00,761.0,5,761.0,761.0,761.0
2019-04-16 17:17:00,761.0,13,761.0,761.0,761.0
2019-04-16 17:16:00,761.0,26,761.0,760.5,761.0
2019-04-16 17:13:00,761.0,46,761.0,761.0,761.0
2019-04-16 17:12:00,761.0,55,760.5,760.5,761.0
2019-04-16 17:10:00,760.5,16,760.5,760.5,760.5
2019-04-16 17:09:00,760.5,8,760.5,760.5,760.5
2019-04-16 17:08:00,760.5,8,760.5,760.5,760.5
2019-04-16 17:07:00,760.5,4,760.5,760.5,760.5
2019-04-16 17:06:00,761.0,6,761.0,761.0,761.0
2019-04-16 17:05:00,761.0,60,761.0,760.5,761.0
2019-04-16 17:02:00,761.0,14,761.0,761.0,761.0
2019-04-16 17:01:00,761.0,19,761.0,761.0,761.0
2019-04-16 16:58:00,760.5,118,760.5,760.5,760.5
2019-04-16 16:56:00,761.0,89,761.0,761.0,761.0
2019-04-16 16:55:00,761.5,12,762.0,761.5,762.0
2019-04-16 16:54:00,761.5,12,761.5,761.5,761.5
2019-04-16 16:53:00,761.5,3,761.5,761.5,761.5
2019-04-16 16:50:00,761.5,34,761.5,761.5,761.5
2019-04-16 16:48:00,762.0,23,762.0,762.0,762.5
2019-04-16 16:42:00,761.5,7,761.5,761.5,761.5
2019-04-16 16:34:00,761.0,11,760.5,760.5,761.0
2019-04-16 16:28:00,760.5,21,760.5,760.5,760.5
2019-04-16 16:26:00,760.0,126,761.0,760.0,761.0
2019-04-16 16:21:00,761.5,15,761.5,761.5,761.5
2019-04-16 16:17:00,761.5,56,761.5,761.5,761.5
2019-04-16 16:13:00,761.5,138,762.0,761.5,762.0
2019-04-16 16:06:00,761.5,42,762.0,761.5,762.0
2019-04-16 15:53:00,762.0,41,762.0,762.0,762.0
2019-04-16 15:52:00,762.0,40,762.0,762.0,762.0
2019-04-16 15:49:00,762.0,9,762.0,762.0,762.0
2019-04-16 15:46:00,762.0,50,762.0,762.0,762.0
2019-04-16 15:42:00,762.0,15,762.5,762.0,762.5
2019-04-16 15:39:00,762.5,45,762.5,762.5,762.5
2019-04-16 15:31:00,763.5,143,763.5,763.5,763.5
2019-04-16 15:26:00,764.0,306,764.0,764.0,764.0
2019-04-16 15:23:00,764.5,2,764.5,764.5,764.5
