date,close,volume,open,low,high
2019-04-12 10:38:00,78000,1,78000,78000,78000
2019-04-12 10:21:00,78100,1,78100,78100,78100
2019-04-12 09:52:00,77800,2,78000,77800,78000
2019-04-12 09:46:00,78100,1,78100,78100,78100
2019-04-12 09:22:00,77800,1,77800,77800,77800
2019-04-12 09:20:00,78100,2,77800,77800,78100
2019-04-12 09:10:00,78200,1,78200,78200,78200
2019-04-12 09:01:00,78000,1,78000,78000,78000
2019-04-11 17:32:00,77900,40,77900,77900,77900
2019-04-11 17:31:00,77900,121,77900,77900,78000
2019-04-11 17:30:00,77900,314,77800,77700,77900
2019-04-11 17:28:00,77700,36,77700,77700,77700
2019-04-11 17:24:00,77700,35,77700,77700,77700
2019-04-11 17:23:00,77800,98,78100,77800,78200
2019-04-11 17:22:00,77900,486,77900,77600,78800
2019-04-11 17:21:00,77600,193,78100,75000,78100
2019-04-11 17:17:00,78100,1,78100,78100,78100
2019-04-11 17:13:00,77900,2,77900,77900,77900
2019-04-11 17:01:00,77800,2,77800,77800,77800
2019-04-11 16:42:00,77800,1,77800,77800,77800
2019-04-11 16:28:00,78000,3,77900,77900,78000
2019-04-11 16:15:00,77800,2,77800,77800,77800
2019-04-11 16:08:00,77700,1,77700,77700,77700
2019-04-11 16:03:00,77900,1,77900,77900,77900
2019-04-11 15:46:00,78200,6,78200,78000,78200
2019-04-11 15:13:00,78400,1,78400,78400,78400
2019-04-11 14:53:00,78300,2,78300,78300,78300
2019-04-11 14:51:00,78400,1,78400,78400,78400
2019-04-11 14:37:00,78300,1,78300,78300,78300
2019-04-11 14:26:00,78400,1,78400,78400,78400
2019-04-11 14:21:00,78300,1,78300,78300,78300
2019-04-11 14:17:00,78400,1,78400,78400,78400
2019-04-11 14:15:00,78400,1,78400,78400,78400
2019-04-11 14:04:00,78300,3,78300,78300,78300
2019-04-11 13:55:00,78300,1,78300,78300,78300
2019-04-11 13:29:00,78400,1,78400,78400,78400
2019-04-11 13:27:00,78400,1,78400,78400,78400
2019-04-11 13:09:00,78300,1,78300,78300,78300
2019-04-11 13:00:00,78200,1,78200,78200,78200
2019-04-11 12:59:00,78300,1,78300,78300,78300
2019-04-11 12:34:00,78400,3,78400,78400,78400
